Designator,Value,Package,MidX,MidY,Rotation,Layer
C4,47p,C_0402_1005Metric,111,-67.25,180,top
C5,100n,C_0603_1608Metric,109.6,-76.4,270,top
C6,47p,C_0402_1005Metric,111,-68.25,180,top
C8,100n,C_0603_1608Metric,109.6,-79.45,90,top
C9,1u,C_0603_1608Metric,111.4,-84.5,90,top
C10,4.7u,C_0603_1608Metric,121.75,-83.5,0,top
D1,D_Small,D_SOD-123,111.75,-70.1,0,top
D2,LED_PWR,LED_0402_1005Metric,108.6,-85.825,270,top
D3,LED_TX,LED_0402_1005Metric,122.1,-87.45,90,top
D4,LED_RX,LED_0402_1005Metric,120.95,-87.45,90,top
F1,500mA,Fuse_0603_1608Metric,109.6,-73.4,270,top
FB1,Ferrite_Bead_Small,L_0603_1608Metric,115.75,-70.5,0,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10104110_Horizontal,114,-63.5,180,top
R1,2.2k,R_0402_1005Metric,122.1,-85.5,270,top
R2,2.2k,R_0402_1005Metric,120.95,-85.5,90,top
R3,27,R_0402_1005Metric,115,-68.25,270,top
R4,27,R_0402_1005Metric,113.5,-67.75,270,top
R5,2.2k,R_0402_1005Metric,109.625,-85.825,90,top
R6,4.7k,R_0402_1005Metric,115.5,-87.75,0,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,114,-75.75,270,top
U3,CP2104,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,115.95,-84.3,180,top
